id,crop_name,month,yield_amount,target,year
627,Oats,July,258.31,1177.16,2024
628,Barley,July,383.53,1436.76,2024
629,Potato,September,602.47,1364.08,2024
630,Strawberries,May,921.59,1230.83,2024
631,Strawberries,June,286.19,1383.22,2022
632,Rye,July,276.39,1209.45,2022
633,Apples,September,870.21,1048.4,2022
634,Oats,August,678.52,786.2,2022
635,Strawberries,May,1150.37,603.28,2022
636,Wheat,July,265.94,658.2,2022
637,Strawberries,May,593.56,1480.83,2022
638,Apples,September,1111.86,954.58,2022
639,Rye,July,1174.77,1067.69,2022
640,Cucumber (Greenhouse),March,348.72,1152.73,2022
641,Wheat,August,311.26,646.88,2022
642,Potato,September,1050.58,1249.67,2022
643,Pumpkin,October,319.19,949.33,2022
644,Tomato (Greenhouse),March,279.68,1353.26,2022
645,Barley,June,696.54,626.4,2023
646,Rye,July,947.52,866.39,2023
647,Strawberries,June,531.83,1301.43,2023
648,Sugar Beet,September,468.38,765.92,2023
649,Carrots,August,288.41,689.03,2023
650,Cucumber (Greenhouse),January,484.09,875.03,2023
651,Strawberries,May,676.05,1244.58,2023
652,Pumpkin,October,272.76,1181.9,2023
653,Potato,September,579.0,1227.24,2023
654,Cucumber (Greenhouse),March,815.37,1263.97,2023
655,Rye,August,653.39,1379.74,2023
656,Strawberries,May,395.89,882.07,2023
657,Barley,June,733.54,1051.53,2023
658,Oats,August,309.91,1135.83,2023
659,Carrots,September,781.28,1275.98,2024
660,Carrots,September,186.38,790.49,2024
661,Apples,October,807.31,743.25,2024
662,Sugar Beet,October,919.25,1100.29,2024
663,Carrots,September,525.15,1317.08,2024
664,Potato,September,550.1,640.83,2024
665,Wheat,August,781.73,1368.94,2024
666,Potato,September,498.89,931.05,2024
667,Carrots,September,908.48,1051.78,2024
668,Sugar Beet,September,566.91,1064.43,2024
669,Tomato (Greenhouse),March,128.33,636.09,2024
670,Wheat,July,192.57,1462.2,2024
671,Sugar Beet,September,753.67,1070.9,2024
672,Oats,August,1119.95,1054.49,2024
673,Sugar Beet,October,350.67,1440.95,2022
674,Potato,August,664.37,1212.24,2022
675,Strawberries,May,259.92,1282.75,2022
676,Oats,July,808.96,966.61,2022
677,Oats,August,213.35,1401.45,2022
678,Rapeseed,July,788.18,1012.84,2022
679,Rapeseed,June,768.87,1358.25,2022
680,Sugar Beet,October,883.26,923.7,2022
681,Corn,September,736.74,731.76,2022
682,Wheat,July,1169.47,678.76,2022
683,Sugar Beet,October,711.66,761.48,2022
684,Rapeseed,July,997.4,886.18,2022
685,Corn,October,347.04,1078.14,2022
686,Oats,July,550.38,1244.25,2022
687,Strawberries,May,1084.33,980.31,2023
688,Apples,September,691.73,966.25,2023
689,Sugar Beet,October,905.82,1138.38,2023
690,Cucumber (Greenhouse),December,852.08,1101.13,2023
691,Corn,October,686.56,1093.47,2023
692,Tomato (Greenhouse),January,372.9,1273.21,2023
693,Strawberries,May,1087.89,994.16,2023
694,Sugar Beet,October,244.47,1148.53,2023
695,Corn,August,929.77,777.6,2023
696,Pumpkin,October,1160.58,1118.87,2023
697,Rye,August,431.27,1319.99,2023
698,Strawberries,May,785.45,966.16,2023
699,Rapeseed,July,332.7,1110.44,2023
700,Rye,August,902.86,698.83,2023
701,Cucumber (Greenhouse),November,1157.87,729.72,2024
702,Wheat,August,399.47,613.08,2024
703,Carrots,August,248.58,678.6,2024
704,Strawberries,June,461.24,820.0,2024
705,Potato,August,1161.83,1088.9,2024
706,Pumpkin,October,523.61,1206.07,2024
707,Corn,September,886.45,696.25,2024
708,Corn,October,320.35,971.97,2024
709,Apples,September,869.52,1227.91,2024
710,Tomato (Greenhouse),November,353.59,762.09,2024
711,Potato,September,522.4,803.67,2024
712,Sugar Beet,September,193.59,1368.06,2024
713,Pumpkin,October,875.54,696.82,2024
714,Tomato (Greenhouse),December,906.91,729.0,2024
715,Rye,July,480.85,1038.5,2022
716,Strawberries,May,107.55,1244.18,2022
717,Sugar Beet,October,299.85,1494.05,2022
718,Cucumber (Greenhouse),February,392.92,719.91,2022
719,Apples,September,578.33,632.17,2022
720,Oats,July,771.66,809.14,2022
721,Pumpkin,October,114.19,1495.76,2022
722,Corn,August,338.23,1354.79,2022
723,Pumpkin,October,1072.11,1005.3,2022
724,Apples,September,957.17,625.11,2022
725,Sugar Beet,October,237.34,758.86,2022
726,Apples,October,906.53,922.35,2022
727,Oats,July,110.35,968.84,2022
728,Cucumber (Greenhouse),November,1016.78,650.76,2022
729,Tomato (Greenhouse),March,484.09,1003.14,2023
730,Barley,July,853.98,1430.02,2023
731,Barley,June,872.58,667.65,2023
732,Pumpkin,October,597.53,1029.69,2023
733,Tomato (Greenhouse),November,360.0,1294.41,2023
734,Barley,July,295.37,1492.78,2023
735,Potato,September,799.72,775.54,2023
736,Carrots,August,726.83,678.06,2023
737,Corn,August,361.65,1499.97,2023
738,Rye,July,1046.91,1210.96,2023
739,Pumpkin,October,402.61,1394.13,2023
740,Barley,July,269.86,855.63,2023
741,Sugar Beet,October,135.1,984.54,2023
742,Rye,July,948.77,1229.26,2023
743,Sugar Beet,September,848.94,650.13,2024
744,Corn,September,421.96,686.81,2024
745,Tomato (Greenhouse),January,1121.91,1127.02,2024
746,Rye,July,258.49,1470.41,2024
747,Tomato (Greenhouse),March,166.56,848.49,2024
748,Rapeseed,July,1075.6,1066.91,2024
749,Carrots,August,772.1,1320.97,2024
750,Apples,September,1145.33,1286.91,2024
751,Oats,August,239.56,1070.78,2024
752,Sugar Beet,September,1126.74,1420.32,2024
753,Strawberries,May,895.32,1460.58,2024
754,Sugar Beet,September,978.86,754.7,2024
755,Corn,October,163.09,1040.02,2024
756,Rapeseed,July,257.63,711.81,2024
757,Potato,September,922.84,722.79,2022
758,Apples,October,251.35,630.59,2022
759,Potato,August,695.76,849.93,2022
760,Wheat,July,731.21,912.41,2022
761,Apples,September,857.55,1236.3,2022
762,Wheat,July,718.04,1361.76,2022
763,Wheat,July,191.24,1163.48,2022
764,Rapeseed,July,713.0,829.03,2022
765,Barley,June,834.85,876.46,2022
766,Apples,September,579.88,799.06,2022
767,Rye,August,821.62,625.65,2022
768,Rye,July,318.48,1387.44,2022
769,Carrots,September,545.31,684.98,2022
770,Wheat,August,282.18,1066.8,2022
771,Sugar Beet,September,546.67,880.32,2023
772,Rapeseed,July,993.41,1294.51,2023
773,Rye,July,557.36,611.8,2023
774,Potato,September,759.14,1228.82,2023
775,Cucumber (Greenhouse),February,690.84,608.79,2023
776,Rye,July,825.1,1179.57,2023
777,Strawberries,May,115.79,748.86,2023
778,Rye,July,479.16,791.32,2023
779,Potato,September,662.8,832.14,2023
780,Cucumber (Greenhouse),January,742.05,797.07,2023
781,Oats,August,1109.76,1317.6,2023
782,Oats,July,662.75,1493.26,2023
783,Pumpkin,October,1187.56,839.64,2023
784,Wheat,July,595.03,1051.88,2023
785,Wheat,August,1170.77,996.74,2024
786,Strawberries,May,420.07,1416.52,2024
787,Wheat,July,462.33,1191.4,2024
788,Tomato (Greenhouse),March,730.76,1153.04,2024
789,Potato,August,1187.02,661.46,2024
790,Cucumber (Greenhouse),November,474.25,629.32,2024
791,Rye,July,498.22,1250.83,2024
792,Barley,June,1031.11,674.11,2024
793,Sugar Beet,September,1179.18,644.52,2024
794,Barley,June,746.86,731.44,2024
795,Strawberries,May,1194.51,1139.61,2024
796,Potato,September,575.58,1176.6,2024
797,Wheat,July,462.23,762.52,2024
798,Wheat,August,600.64,926.55,2024
799,Oats,August,560.93,1483.96,2022
800,Apples,October,824.28,1077.24,2022
801,Rye,July,252.87,1060.37,2022
802,Rapeseed,July,888.41,1189.93,2022
803,Oats,August,595.84,1153.82,2022
804,Rapeseed,June,189.23,1429.84,2022
805,Potato,August,222.99,647.57,2022
806,Corn,September,270.75,946.32,2022
807,Potato,September,244.71,1055.45,2022
808,Rye,July,214.97,1358.16,2022
809,Carrots,September,1107.12,1461.7,2022
810,Cucumber (Greenhouse),November,907.91,783.75,2022
811,Pumpkin,October,512.82,919.22,2022
812,Rye,July,1051.07,762.53,2022
813,Cucumber (Greenhouse),March,165.97,775.61,2023
814,Carrots,September,431.94,1189.24,2023
815,Oats,August,477.56,1078.25,2023
816,Rye,August,205.25,1433.23,2023
817,Wheat,August,1095.82,679.12,2023
818,Apples,September,107.53,1411.36,2023
819,Rapeseed,June,184.45,605.88,2023
820,Sugar Beet,September,908.19,931.66,2023
821,Strawberries,May,612.88,749.62,2023
822,Carrots,September,234.19,1006.87,2023
823,Pumpkin,October,373.36,1050.11,2023
824,Pumpkin,October,362.35,814.51,2023
825,Potato,August,546.16,781.84,2023
826,Tomato (Greenhouse),February,778.2,1297.6,2023
827,Wheat,July,658.75,1459.13,2024
828,Oats,August,218.17,1199.26,2024
829,Corn,September,1143.13,608.21,2024
830,Oats,August,860.48,1053.57,2024
831,Rye,July,855.98,1274.16,2024
832,Cucumber (Greenhouse),March,1121.79,668.96,2024
833,Carrots,September,368.22,771.95,2024
834,Carrots,September,682.75,1493.37,2024
835,Tomato (Greenhouse),November,485.0,1204.78,2024
836,Rye,August,956.65,1447.38,2024
837,Potato,August,472.02,1413.7,2024
838,Apples,September,869.9,799.26,2024
839,Pumpkin,October,631.47,615.43,2024
840,Strawberries,May,717.54,1467.12,2024
841,Carrots,September,647.82,1368.68,2022
842,Corn,August,383.12,1040.76,2022
843,Rapeseed,June,598.16,1069.16,2022
844,Strawberries,May,203.95,1190.99,2022
845,Rye,August,1097.32,1075.58,2022
846,Pumpkin,October,597.73,716.77,2022
847,Cucumber (Greenhouse),November,164.75,1202.69,2022
848,Potato,September,820.31,1366.53,2022
849,Apples,October,645.24,772.75,2022
850,Oats,August,491.63,1479.55,2022
851,Potato,August,268.83,641.45,2022
852,Potato,August,342.14,836.11,2022
853,Wheat,July,771.89,1322.47,2022
854,Barley,June,205.83,1223.19,2022
855,Wheat,August,508.5,968.15,2023
856,Rapeseed,July,154.12,1055.48,2023
857,Strawberries,May,769.86,1489.94,2023
858,Carrots,September,398.11,1014.09,2023
859,Potato,September,450.77,1197.33,2023
860,Barley,June,728.22,740.4,2023
861,Potato,September,101.37,1115.13,2023
862,Carrots,September,927.35,1175.31,2023
863,Oats,July,722.16,1435.77,2023
864,Cucumber (Greenhouse),December,311.06,1275.09,2023
865,Wheat,August,138.2,855.76,2023
866,Pumpkin,October,149.23,613.48,2023
867,Cucumber (Greenhouse),November,1192.03,1415.82,2023
868,Corn,October,562.69,1046.82,2023
869,Corn,August,224.42,1364.49,2024
870,Rye,August,585.05,615.17,2024
871,Potato,August,868.47,1336.53,2024
872,Tomato (Greenhouse),March,818.41,1210.98,2024
873,Rye,July,1171.85,1426.05,2024
874,Carrots,August,795.23,828.31,2024
875,Pumpkin,October,206.72,1355.69,2024
876,Apples,October,1041.84,1054.29,2024
877,Sugar Beet,October,386.63,1330.64,2024
878,Cucumber (Greenhouse),November,906.68,1099.28,2024
879,Sugar Beet,September,456.47,1226.56,2024
880,Carrots,August,807.59,1289.07,2024
881,Tomato (Greenhouse),November,1114.56,624.33,2024
882,Rapeseed,July,473.28,820.67,2024
883,Cucumber (Greenhouse),February,965.65,988.52,2022
884,Apples,October,160.08,1155.83,2022
885,Corn,October,313.94,866.8,2022
886,Oats,July,1162.02,1033.09,2022
887,Tomato (Greenhouse),March,187.84,1221.55,2022
888,Apples,September,711.87,857.37,2022
889,Apples,September,1103.76,1434.09,2022
890,Tomato (Greenhouse),November,466.59,1419.86,2022
891,Rapeseed,June,113.0,1195.08,2022
892,Wheat,August,475.27,1145.25,2022
893,Sugar Beet,October,957.9,1243.72,2022
894,Potato,September,373.86,1027.73,2022
895,Corn,September,1150.75,1025.0,2022
896,Tomato (Greenhouse),February,140.88,1097.72,2022
897,Apples,September,711.59,1455.81,2023
898,Oats,August,198.73,655.2,2023
899,Strawberries,June,564.51,961.72,2023
900,Wheat,August,202.67,1328.95,2023
901,Rye,July,601.42,886.52,2023
902,Rye,August,455.5,1020.37,2023
903,Tomato (Greenhouse),March,540.3,639.46,2023
904,Rapeseed,June,352.32,1270.27,2023
905,Corn,September,1113.45,1396.01,2023
906,Tomato (Greenhouse),February,351.92,1156.78,2023
907,Apples,September,729.89,650.65,2023
908,Corn,September,736.66,1346.45,2023
909,Strawberries,May,603.82,782.66,2023
910,Barley,June,245.49,1180.77,2023
911,Rapeseed,July,1077.11,1274.51,2024
912,Oats,July,238.31,1413.66,2024
913,Oats,August,962.3,1423.32,2024
914,Corn,August,662.68,873.07,2024
915,Pumpkin,October,935.94,1092.89,2024
916,Potato,September,287.32,1398.21,2024
917,Barley,June,312.53,718.45,2024
918,Barley,June,1118.88,916.96,2024
919,Corn,September,373.6,689.33,2024
920,Sugar Beet,September,195.29,890.06,2024
921,Oats,August,541.41,1428.24,2024
922,Rye,August,455.42,1116.24,2024
923,Tomato (Greenhouse),January,1107.93,837.43,2024
924,Tomato (Greenhouse),November,996.26,635.83,2024
925,Wheat,August,864.76,1422.37,2022
926,Oats,July,777.0,855.75,2022
927,Oats,July,1048.12,808.81,2022
928,Rye,July,665.04,1146.26,2022
929,Cucumber (Greenhouse),January,924.1,1497.27,2022
930,Wheat,July,981.59,1427.3,2022
931,Apples,October,597.14,1435.28,2022
932,Rapeseed,July,791.42,1411.21,2022
933,Pumpkin,October,879.7,848.45,2022
934,Carrots,September,1040.68,977.98,2022
935,Sugar Beet,October,614.31,954.08,2022
936,Wheat,August,977.17,617.35,2022
937,Rye,August,729.08,1243.65,2022
938,Rapeseed,June,119.47,1392.62,2022
939,Oats,July,1009.88,941.18,2023
940,Potato,August,854.42,1322.25,2023
941,Wheat,July,1186.9,1484.04,2023
942,Cucumber (Greenhouse),November,1090.86,1043.94,2023
943,Sugar Beet,October,353.76,947.59,2023
944,Oats,July,127.66,678.86,2023
945,Sugar Beet,September,158.89,1024.96,2023
946,Corn,October,653.72,972.96,2023
947,Potato,September,1101.36,1271.29,2023
948,Rye,July,686.46,1438.58,2023
949,Rapeseed,July,1010.06,1366.78,2023
950,Sugar Beet,October,575.01,892.16,2023
951,Cucumber (Greenhouse),December,929.24,605.6,2023
952,Cucumber (Greenhouse),November,113.79,930.88,2023
953,Rye,July,643.72,1209.23,2024
954,Carrots,August,1131.66,604.0,2024
955,Rapeseed,July,545.95,786.55,2024
956,Apples,September,126.16,922.63,2024
957,Sugar Beet,September,415.94,1009.69,2024
958,Sugar Beet,October,1157.25,953.97,2024
959,Barley,June,718.71,1010.91,2024
960,Apples,September,1074.44,1368.98,2024
961,Strawberries,June,936.84,1243.99,2024
962,Corn,October,631.93,1423.05,2024
963,Strawberries,June,901.69,1431.6,2024
964,Sugar Beet,September,758.29,1094.62,2024
965,Tomato (Greenhouse),March,809.62,970.25,2024
966,Cucumber (Greenhouse),November,735.75,1243.06,2024
967,Sugar Beet,September,455.93,1035.52,2022
968,Cucumber (Greenhouse),January,880.86,711.7,2022
969,Cucumber (Greenhouse),January,508.95,774.61,2022
970,Oats,August,869.68,1152.73,2022
971,Rye,August,635.73,731.8,2022
972,Sugar Beet,October,280.92,756.14,2022
973,Potato,September,573.62,1288.21,2022
974,Sugar Beet,September,1166.91,806.39,2022
975,Pumpkin,October,639.27,784.21,2022
976,Corn,October,776.68,1486.39,2022
977,Sugar Beet,September,289.4,1162.75,2022
978,Tomato (Greenhouse),February,762.54,610.11,2022
979,Sugar Beet,October,841.16,1426.52,2022
980,Pumpkin,October,630.01,1431.99,2022
981,Oats,July,1086.63,770.79,2023
982,Apples,September,610.17,752.93,2023
983,Rye,August,235.31,643.82,2023
984,Barley,July,160.92,1245.8,2023
985,Wheat,August,818.78,841.1,2023
986,Corn,October,474.89,821.57,2023
987,Sugar Beet,October,231.01,1482.49,2023
988,Corn,October,131.55,651.88,2023
989,Barley,July,1055.63,1438.02,2023
990,Potato,September,627.13,1090.13,2023
991,Rye,July,237.54,624.46,2023
992,Cucumber (Greenhouse),January,636.83,686.44,2023
993,Wheat,August,625.61,1082.28,2023
994,Sugar Beet,September,390.1,1023.83,2023
995,Strawberries,May,205.69,633.13,2024
996,Pumpkin,October,423.38,893.97,2024
997,Tomato (Greenhouse),January,953.39,1029.83,2024
998,Carrots,September,930.13,1362.44,2024
999,Carrots,September,1078.52,1346.23,2024
1000,Tomato (Greenhouse),January,828.03,889.85,2024
